Country Code,Country Name_x,Continent_x,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
FJI,Fiji,Oceania,11.602,12.433,12.896,13.617,13.969,14.032,14.244,14.555,14.927,14.911,15.145,15.455,16.628,16.469,14.896
FRA,France,Europe,18.248,22.886,22.468,21.878,23.579,24.009,24.196,24.675,24.468,22.15,20.763,19.509,20.161,18.862,17.751
GAB,Gabon,Africa,34.848,35.46,35.915,35.963,36.068,36.088,36.152,36.177,36.188,36.194,36.131,35.976,38.517,37.523,36.89
GBR,United Kingdom,Europe,14.918,18.978,19.732,21.147,21.046,20.495,16.796,14.508,12.89,11.99,11.19,11.039,13.438,12.774,9.944
GEO,Georgia,Asia,36.86,43.299,40.942,41.445,37.917,40.952,37.941,36.424,35.667,28.995,29.64,30.011,30.784,30.858,29.069
GHA,Ghana,Africa,9.912,10.594,11.083,8.869,6.878,4.764,9.501,14.283,10.362,6.333,6.451,6.532,7.341,7.16,7.137
GIN,Guinea,Africa,6.08,6.244,6.22,6.285,6.359,6.477,6.566,6.652,6.617,6.718,6.883,6.992,8.529,7.931,7.893
GMB,"Gambia, The",Africa,12.791,12.839,12.912,13.266,13.043,12.12,11.222,10.149,9.203,8.184,7.18,7.272,8.851,8.325,8.062
GNB,Guinea-Bissau,Africa,4.384,4.359,4.326,4.278,4.294,4.236,4.211,4.15,4.109,4.071,4.05,4.085,4.898,4.671,4.569
GNQ,Equatorial Guinea,Africa,14.746,15.073,15.973,15.705,15.612,15.522,15.641,15.934,16.003,16.129,15.811,15.939,18.117,17.177,16.512
GRC,Greece,Europe,21.81,25.63,32.846,44.531,55.154,58.133,52.286,49.679,47.104,43.393,39.686,35.038,34.821,35.274,30.048
GTM,Guatemala,North America,5.325,5.384,5.309,4.93,4.62,5.537,5.725,5.621,5.603,4.955,4.687,4.466,6.521,5.653,5.048
GUM,Guam,Oceania,20.344,21.537,19.048,31.051,27.767,26.129,17.26,15.627,12.202,12.282,12.493,12.424,14.762,13.805,13.635
GUY,Guyana,South America,22.155,22.447,22.795,23.107,23.471,23.893,24.347,24.804,25.192,25.706,26.156,27.005,30.905,29.457,25.404
HIC,High income,Global,14.0674036220868,17.8005739072086,18.2852166207888,18.0701465429804,18.3871237227888,18.4346241702174,17.3221901552857,15.9844205633528,14.782239889756,13.8041612573156,12.7812640923757,12.2336731720516,15.8335618009477,13.5537779560547,11.4188330354719
HKG,"Hong Kong SAR, China",Asia,8.538,12.522,12.145,9.293,9.264,9.479,9.234,10.454,9.749,8.548,8.743,8.521,15.521,12.769,12.963
HND,Honduras,North America,5.545,6.01,7.534,8.09,6.987,9.86,11.899,11.09,12.625,10.79,10.463,10.457,16.909,13.524,12.266
HPC,Heavily indebted poor countries (HIPC),Global,8.83908572120957,8.86688334902077,9.36728573001572,9.38490637529535,9.07583174877121,8.68679068486532,8.73033730197794,9.09868402208819,9.09610047698022,9.22618728393283,9.09276643790545,9.11277832905295,10.3752170843716,9.52539468223825,9.43301559580293
HRV,Croatia,Europe,23.591,25.154,32.298,36.616,42.06,50.018,45.542,42.396,31.291,27.398,23.752,16.676,21.152,21.947,17.563
HTI,Haiti,North America,38.062,36.71,35.824,34.139,32.97,32.734,32.755,32.615,32.533,32.409,32.33,32.271,35.265,34.132,34.027
HUN,Hungary,Europe,19.482,26.355,26.355,25.94,28.139,26.52,20.364,17.234,12.884,10.69,10.159,11.383,12.747,13.492,10.222
IBD,IBRD only,Global,14.8323178134827,15.734879922777,15.8136033013375,16.0138478108352,16.3060590929147,16.7038685744296,17.18874376068,17.9992489254814,18.6975096599257,18.9485917781205,19.096808525734,17.9814516512187,21.8840077186769,19.0627455232142,18.3323230163647
IBT,IDA & IBRD total,Global,13.2074442471857,13.8651385188519,13.8786848286882,14.0371717567526,14.2965725335435,14.6081554859905,14.8679487270078,15.5736356858378,16.0634441221077,16.2945085890083,16.3704268618184,15.6690506123827,18.7849942381369,16.7730763895939,16.1662683705433
